frame_idx,timestamp,blur_score,brightness_score,contrast_score,occlusion_score,global_score,var_laplacian,mean_brightness,sat_ratio,std_gray,edge_density,blocked_ratio,global_level,blur_level,brightness_level,contrast_level,qc_blur_level,qc_occlusion_level,qc_light_level,qc_blur_alert,qc_occlusion_alert,qc_light_alert,stab_dx,stab_dy,stab_mag,stab_vibration_rms,stab_level,stab_accum_x,stab_accum_y,mot_num_regions,mot_area_ratio,mot_level
0,1764819377.3428392,25.881417312786297,99.76519097222221,35.27516809268399,0.0,43.48844218269004,201.7628346255726,107.60444661458334,0.001174045138888889,40.873825641707796,0.002569444444444444,0.05964626736111111,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,0.0,0.0,0.0,STABLE,0.0,0.0,0,0.0,NONE
1,1764819377.6320856,25.527460691265986,99.76519097222221,35.36149085128682,0.0,43.384481699076886,201.05492138253197,107.63164496527777,0.001174045138888889,40.912670883079066,0.0025520833333333333,0.059590928819444444,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0001220703125,-0.001220703125,0.0012267914576563586,0.001226791413500905,STABLE,0.0001220703125,-0.001220703125,0,0.0,NONE
2,1764819377.6941059,25.382211134825823,99.76475694444444,35.37652777230616,0.0,43.33238953102128,200.76442226965165,107.64751085069445,0.0011762152777777778,40.91943749753777,0.0025032552083333335,0.059656032986111114,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,7.62939453125e-06,0.0,7.62939453125e-06,0.0008674893178977072,STABLE,0.00012969970703125,-0.001220703125,0,0.0,NONE
3,1764819377.7434285,25.229207103375444,99.76605902777777,35.37015602391883,0.0,43.27087983073658,200.4584142067509,107.64787434895834,0.0011697048611111112,40.916570210763474,0.0025043402777777776,0.05961371527777778,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,3.814697265625e-05,0.0,3.814697265625e-05,0.000708644394762814,STABLE,0.0001678466796875,-0.001220703125,0,0.0,NONE
4,1764819377.7996356,25.17469750675094,99.76649305555556,35.384546235663585,0.0,43.25637598263913,200.3493950135019,107.64324001736111,0.0011675347222222222,40.92304580604861,0.0025162760416666667,0.059541015625,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,3.0517578125e-05,0.0,3.0517578125e-05,0.0006138937314972281,STABLE,0.0001983642578125,-0.001220703125,0,0.0,NONE
5,1764819378.095961,25.16932851023674,99.76627604166667,35.38706275620192,0.0,43.251558920730076,200.33865702047348,107.64113389756945,0.0011686197916666668,40.924178240290864,0.0024782986111111112,0.05977756076388889,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,0.0,0.0,0.0005490832263603806,STABLE,0.0001983642578125,-0.001220703125,0,0.0,NONE
6,1764819378.1762557,25.185169979142557,99.76605902777777,35.387430948675714,0.0,43.25979425189678,200.37033995828511,107.63611653645833,0.0011697048611111112,40.92434392690407,0.002521701388888889,0.05965277777777778,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,-1.52587890625e-05,0.0,1.52587890625e-05,0.0005012808251194656,STABLE,0.00018310546875,-0.001220703125,0,0.0,NONE
7,1764819378.2116742,25.19603590844943,99.76453993055556,35.38604304101624,0.0,43.26305780427541,200.39207181689886,107.634775390625,0.0011773003472222222,40.923719368457306,0.0025032552083333335,0.059662543402777775,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,0.0,0.0,0.0004640958795789629,STABLE,0.00018310546875,-0.001220703125,0,0.0,NONE
8,1764819378.253873,25.18333734074109,99.76519097222221,35.38753204963598,0.0,43.25884543755548,200.36667468148218,107.63453776041666,0.001174045138888889,40.92438942233619,0.0025043402777777776,0.059659288194444444,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,0.0,0.0,0.00043412193190306425,STABLE,0.00018310546875,-0.001220703125,0,0.0,NONE
9,1764819378.4590716,25.16941858566602,99.76605902777777,35.388709062477865,0.0,43.25395804115902,200.33883717133205,107.63313042534722,0.0011697048611111112,40.92491907811504,0.0024999999999999996,0.05966362847222222,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,0.0,0.0,0.0004092940944246948,STABLE,0.00018310546875,-0.001220703125,1,0.0010416666666666667,LOW
